Date,Type,Reg.,Route,"Flight
Time","Day
Landings","Night
Landings","Actual
Instrument","Simulated
Instrument",Night,ME,VP,RU,"Cross
Country",Solo,PIC,Dual,Notes
2008-07-15,DR42 ,FGAHQ ,Local LFMA ,0.7,3,  ,  ,  ,  ,,,,  ,  ,  ,0.7,SAAL
2008-07-16,DR42 ,FGAHQ ,Local LFMA ,1.2,1,  ,  ,  ,  ,,,,  ,  ,1.2,  ,Avec Nico Richard
2008-07-19,DR42 ,FGIBJ ,Local LFMA ,1.5,1,  ,  ,  ,  ,,,,  ,  ,1.5,  ,Avec Papa
2008-07-26,DR48 ,FGLKG ,Local LFPZ ,1.3,1,  ,  ,  ,  ,,,,  ,  ,1.3,  , 
2008-08-25,BE23 ,FBNMJ ,Nav LFPZ-LFPD ,1.2,1,  ,  ,  ,  ,,,,1.2,  ,  ,1.2,MLT. Cap10 à Bernay.
Page 20 =>,,,,118.5,281.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,46.2,24.6,39.5,79.0,
2008-09-06,C172 ,N3ZR ,Local LFLA ,1.3,3,  ,  ,  ,  ,,,,  ,  ,  ,1.3,MOM BFR
2008-09-15,DR46 ,FGXGM ,Local LFPZ ,0.4,1,  ,  ,  ,  ,,,,  ,  ,0.4,  , 
2008-09-23,C172 ,N4975F ,Local KMYF ,1.0,3,  ,  ,  ,  ,,,,  ,  ,  ,1.0,MOM
2008-09-23,C172 ,N4975F ,Nav KMYFKBSP ,2.3,1,  ,  ,  ,  ,,,,2.3,  ,2.3,  , 
2008-09-24,C172 ,N4975F ,Local KOAK ,0.8,1,  ,  ,  ,  ,,,,  ,  ,0.8,  ,Bay Tour
2008-09-24,C172 ,N4975F ,Nav KOAK-KMFR ,3.0,1,  ,  ,  ,  ,,,,3.0,  ,3.0,  , 
2008-09-25,C172 ,N4975F ,Nav KPDX-CZBB ,2.3,1,  ,  ,  ,  ,,,,2.3,  ,2.3,  , 
2008-09-27,C172 ,N4975F ,Nav KBFI-KLMT ,3.5,1,  ,  ,  ,  ,,,,3.5,  ,3.5,  , 
2008-09-28,C172 ,N4975F ,Nav KOAK-KMHV ,2.9,1,  ,  ,  ,  ,,,,2.9,  ,2.9,  , 
2008-09-29,C172 ,N4975F ,Nav KLAS-KPGA ,3.0,1,  ,  ,  ,  ,,,,3.0,  ,3.0,  , 
2008-09-30,C172 ,N4975F ,Nav Monument Valley-KSEZ ,2.3,1,  ,  ,  ,  ,,,,2.3,  ,2.3,  , 
2008-10-01,C172 ,N4975F ,Nav KSEZ-KTRM ,2.6,1,  ,  ,  ,  ,,,,2.6,  ,2.6,  , 
2008-10-01,C172 ,N4975F ,Nav KAVX-KMYF ,1.0,1,  ,  ,  ,  ,,,,1.0,  ,1.0,  , 
2008-11-08,DR46 ,FGXGM ,Tours de piste LFPZ ,0.5,3,  ,  ,  ,  ,,,,  ,  ,,0.5,MLT
Page 22 =>,,,,145.4,301.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,69.1,24.6,63.6,81.8,
2008-11-08,DR46 ,FGXGM ,Tours de piste LFPZ (suite),0.4,3,  ,  ,  ,  ,,,,  ,  ,0.4,,
2009-02-14,DR46 ,FGUXH ,Tours de piste LFPZ ,0.7,5,  ,  ,  ,  ,,,,  ,  ,  ,0.7,MTY
2009-02-28,DR42 ,FGBVP ,Local LFPZ ,1.7,1,  ,  ,  ,  ,,,,1.7,  ,1.7,  ,Abbeville remplacé par un local avec Pascal.
2009-03-31,,,12 mois avant l'expiration,,,,,,,,,,,,,,
2009-04-13,DR46 ,FGXGM ,Nav LFPZ-LFAT-LFPZ ,2.9,2,  ,  ,  ,  ,,,,2.9,  ,2.9,  ,Un peu de On Top avec Pascal.
2009-05-02,DR46 ,FGUXH ,Nav LFPZ-LFOR-LFPZ ,1.5,2,  ,  ,  ,  ,,,,1.5,  ,1.5,  ,Avec Steupa.
2009-06-02,C172 ,N4975F ,Nav KRHV-KPAO ,0.6,1,  ,  ,  ,  ,,,,  ,  ,0.6,  , 
2009-06-03,C172 ,N4975F ,Nav KEUG-KBFI ,2.3,1,  ,  ,  ,  ,,,,2.3,  ,2.3,  , 
2009-06-04,BE76 ,N3803E ,Nav CYYJ-CYAZ ,1.3,1,  ,  ,  ,  ,1.3,1.3,1.3,1.3,  ,  ,1.3,MOM
2009-06-06,BE76 ,N3803E ,Nav CYVR-KPDX ,1.8,1,  ,0.1,  ,  ,1.8,1.8,1.8,1.8,  ,  ,1.8,MOM. IFR.
2009-06-08,C172 ,N4975F ,Nav KMHV-KLAS ,2.0,1,  ,  ,  ,  ,,,,2.0,  ,2.0,  , 
2009-06-15,C172 ,N4975F ,Nav KIFR-KMYF ,2.6,1,  ,  ,  ,  ,,,,2.6,  ,2.6,  , 
2009-06-20,DR42 ,FGBVP ,Local LFPZ ,0.6,2,  ,  ,0.5,  ,,,,  ,  ,  ,0.6,JCP
2009-07-11,DR42 ,FGBVP ,Nav LFPZ-LFOR-LFPZ ,1.6,2,  ,  ,  ,  ,,,,1.6,  ,1.6,  , 
Page 24 =>,,,,165.4,324.0,0.0,0.1,1.0,0.0,3.1,3.1,3.1,86.8,24.6,79.2,86.2,
2009-08-01,DR48 ,FGLKG ,Nav LFPZ-LFLA ,1.3,1,  ,  ,  ,  ,,,,1.3,  ,1.3,  , 
2009-08-02,DR48 ,FGLKG ,Local LFLA ,1.2,1,  ,  ,  ,  ,,,,  ,  ,1.2,  ,"Avec Vincent, Aurore et Nico."
2009-08-02,DR48 ,FGLKG ,Local LFLA ,1.1,1,  ,  ,  ,  ,,,,  ,  ,1.1,  ,Avec Vincent et Aurore.
2009-08-03,DR48 ,FGLKG ,Nav LFLA-LFLB ,1.7,1,  ,  ,  ,  ,,,,1.7,  ,1.7,  , 
2009-08-04,DR48 ,FGLKG ,Local LFLB ,1.8,1,  ,  ,  ,  ,,,,1.8,  ,1.8,  ,Tour du Mont Blanc.
2009-08-04,DR48 ,FGLKG ,Nav LFLB-LFLA ,1.8,1,  ,  ,  ,  ,,,,1.8,  ,1.8,  , 
2009-08-04,DR48 ,FGLKG ,Nav LFLA-LFPZ ,1.1,1,  ,  ,  ,  ,,,,1.1,  ,1.1,  , 
2009-08-29,DR48 ,FGLKG ,Nav LFPZ-LFOS ,1.2,1,  ,  ,  ,  ,,,,1.2,  ,1.2,  , 
2009-09-02,DR48 ,FGLKG ,Nav LFOS-LFPZ ,1.4,1,  ,  ,  ,  ,,,,1.4,  ,1.4,  , 
2009-09-19,DR48 ,FGGJL ,Local LFPZ ,1.5,2,  ,  ,  ,  ,,,,  ,  ,1.5,  , 
2010-01-03,DR42,FGBVP,Local LFPZ,0.5,1,,,,,,,,,,,0.5,BLI
2010-02-04,DR221,FBOZU,Local LFPZ ,1.0,1,,,,,,,,,,,1.0,LDE
2010-02-12,DR221,FBOZU,Tours de piste LFPZ,0.7,4,,,,,,,,,,0.7,,
2010-02-14,DR221,FBOZU,Local LFPZ,1.3,1,,,,,,,,,,1.3,,St Valentin avec Delphine.
Page 26 =>,,,,183.0,342.0,0.0,0.1,1.0,0.0,3.1,3.1,3.1,97.1,24.6,95.3,87.7,
2010-02-08,Page 28,,Clôture prorogation 2010,34.8,32.0,0.0,0.1,0.5,0.0,3.1,3.1,3.1,26.3,0.0,29.6,5.2,
2010-03-20,DR48,FGLKG,Tours de piste LFPZ,0.6,3,,,,,,,,,,,0.6,BLI
2010-04-05,DR221,FBOZU,Nav LFPZ-LFPT,0.5,1,,,,,,,,,,0.5,,Stop essence à Pontoise.
2010-04-05,DR221,FBOZU,Nav LFPT-LFOH,1.5,1,,,,,,,,1.5,,1.5,,Etretat avec Delphine.
2010-04-05,DR221,FBOZU,Nav LFOH-LFPZ,1.2,1,,,,,,,,1.2,,1.2,,Etretat avec Delphine.
2010-06-24,DR46,FGXGM,Local LFPZ ,0.9,4,,,,,,,,,,,0.9,DFX
2010-06-26,J3,FBFBP,Local LFPZ ,0.8,4,,,,,,,,,,,0.8,JCP
2010-07-08,CAP10,FHEBV,Voltige LFPD,0.6,1,,,,,,,,,,,0.6,MLT
2010-07-08,DR48,FGGJL,Tours de piste LFPD,0.5,3,,,,,,,,,,0.5,,
2010-07-13,DR46,FGUXH,Nav LFPZ-LFLA,1.5,1,,,,,,,,1.5,,1.5,,
2010-07-13,DR46,FGUXH,Nav LFLA-LFLB,2.0,1,,,,,,,,2.0,,2.0,,
2010-07-14,DR46,FGUXH,Local LFLB,1.6,1,,,,,,,,1.6,,1.6,,Tour du Mont Blanc avec Delphine.
2010-07-15,DR46,FGUXH,Nav LFLB-LFLA,2.1,1,,,,,,,,2.1,,2.1,,
2010-07-15,DR46,FGUXH,Nav LFLA-LFPZ,1.4,1,,,,,,,,1.4,,1.4,,
2010-09-06,,,Expiration BFR,,,,,,,,,,,,,,
2010-12-05,DR42,FBTKU,Local LFPZ ,1.0,1,,,,,,,,,,,1.0,ALX
Page 30 =>,,,,199.2,366.0,0.0,0.1,1.0,0.0,3.1,3.1,3.1,108.4,24.6,107.6,91.6,
2011-01-16,DR46,FGXGM,Nav LFPZ-LFPK,1.2,1,,,,,,,,1.2,,1.2,,Aérodéj Coulommiers.
2011-03-11,DR221,FBOZU,Tours de piste LFPZ,0.8,5,,,,,,,,,,,0.8,MLT
2011-03-11,DR42,FGBVP,Local LFPZ,0.9,3,,,,,,,,,,0.9,,
2011-03-12,DR46,FGXGM,Nav LFPT,0.7,1,,,,,,,,0.7,,0.7,,
2011-03-20,DR48,FGGJL ,Nav LFAJ-LFRF,1.0,1,,,,,,,,1.0,,1.0,,
2011-03-31,,,12 mois avant l'expiration,,,,,,,,,,,,,,
2011-04-01,J3,FBFBP,Tours de piste LFPZ,0.7,3,,,,,,,,,,,0.7,MLT
2011-04-02,J3,FBFBP,Local LFPZ,1.3,2,,,,,,,,,,,1.3,MLT
2011-04-02,J3,FBFBP,Tours de piste LFPZ,0.4,1,,,,,,,,,,0.4,,
2011-04-24,DR42,FBTKU,Nav LFPN,0.6,1,,,,,,,,0.6,,0.6,,
2011-04-30,TB20,FGENA,Local LFPE LFPK,1.1,3,,,,,,1.1,1.1,,,,1.1,Thomas Landau
2011-05-27,C182,N695KY,Nav LFPN-LFOP,0.8,1,,,,,,0.8,,0.8,,,0.8,MOM BFR
2011-05-27,C182,N695KY,Nav LFOP-LFPN,0.6,1,,,,,,0.6,,0.6,,,0.6,MOM BFR
2011-06-02,DR221,FBPRT,Tours de piste LFPZ,0.8,5,,,,,,,,,,,0.8,PDV
2011-06-02,DR42,FBTKU,Local LFPZ,0.8,1,,,,,,,,,,0.8,,
Page 32 =>,,,,210.9,395.0,0.0,0.1,1.0,0.0,3.1,5.6,4.2,113.3,24.6,113.2,97.7,
2011-07-15,J3,FBFBP,Tours de piste LFPZ,0.4,1,,,,,,,,,,,0.4,RPR
2011-07-15,J3,FBFBP,Local LFPZ,1.0,3,,,,,,,,,,1.0,,
2011-07-23,TB20,FGENA,Local LFPE LFPK,0.9,3,,,,,,0.9,0.9,,,,0.9,Thomas Landau
2011-08-03,C172,N738QA,Local KMYF KRNM,1.3,2,,,,,,,,,,,1.3,Nicolas Bonnafoux
2011-08-04,C172,N21019,Local KMYF KSDM,1.4,6,,,,,,,,,,,1.4,Alex Dorosenco / Transition taxiway D
2011-08-05,C172,N21019,Nav KMYFKSEZ,3.0,1,,,,,,,,3.0,,3.0,,
2011-08-07,C172,N21019,Nav KSEZ-KPGA,2.7,1,,,,,,,,2.7,,2.7,,
2011-08-07,C172,N21019,Nav KPGA-KKNB,2.4,1,,,,,,,,2.4,,2.4,,
2011-08-08,C172,N21019,Local KKNB,1.3,1,,,,,,,,1.3,,1.3,,Bryce Canyon
2011-08-09,C172,N21019,Nav KKNB-KTPH,2.7,1,,,,,,,,2.7,,2.7,,
2011-08-09,C172,N21019,Nav KTPH-KOAK,2.7,1,,,,,,,,2.7,,2.7,,
2011-08-11,C172,N21019,Nav KOAK-KMIT,2.5,1,,,,,,,,2.5,,2.5,,
2011-08-11,C172,N21019,Nav KMIT-KUDD,2.0,1,,,,,,,,2.0,,2.0,,
2011-08-13,C172,N21019,Nav KUDD-KMYF,1.1,1,,,,,,,,1.1,,1.1,,
Page 34 =>,,,,236.3,419.0,0.0,0.1,1.0,0.0,3.1,6.5,5.1,133.7,24.6,134.6,101.7,
